"Activity" "Subject" "frequencyBodyAccelerometerMagnitude-mean()" "frequencyBodyAccelerometerMagnitude-std()" "frequencyBodyAccelerometerJerkMagnitude-mean()" "frequencyBodyAccelerometerJerkMagnitude-std()" "frequencyBodyGyroscopicJerkMagnitude-mean()" "frequencyBodyGyroscopicJerkMagnitude-std()" "frequencyBodyGyroscopicMagnitude-mean()" "frequencyBodyGyroscopicMagnitude-std()" "timeBodyAccelerometerJerkMagnitude-mean()" "timeBodyAccelerometerJerkMagnitude-std()" "timeBodyAccelerometerMagnitude-mean()" "timeBodyAccelerometerMagnitude-std()" "timeBodyGyroscopicJerkMagnitude-mean()" "timeBodyGyroscopicJerkMagnitude-std()" "timeBodyGyroscopicMagnitude-mean()" "timeBodyGyroscopicMagnitude-std()" "timeGravityAccelerometerMagnitude-mean()" "timeGravityAccelerometerMagnitude-std()"
"WALKING" 1 -0.0383923339084211 -0.0695300462115789 -0.468043160526316 0.238918104421053 0.259224199421053 0.266175581751579 -0.172029857462105 -0.0899975423705263 -0.533814662421053 -0.368955562861053 -0.741789973263158 -0.357642790013684 -0.338246326894737 -0.880924993578947 -0.845919903894737 -0.339032197115789 -0.933790816315789 -0.807090448526316
"WALKING_UPSTAIRS" 1 -0.305264220962264 -0.166170015088679 -0.409868342316981 0.421515888377358 0.12949984354717 0.191980148588679 -0.116837051783019 -0.122232768011321 0.282041225383019 -0.792298456981132 -0.785268259433962 -0.848267307358491 -0.774621821509434 -0.952159069245283 -0.963511713018868 -0.492611667924528 -0.969104824716981 -0.933665421509434
"WALKING_DOWNSTAIRS" 1 0.189908398910204 -0.0909371290204082 -0.466480526326531 -0.0788326496612245 0.247013933489796 0.131428911006939 -0.210495165979592 -0.0739592036271429 -0.564097848679592 -0.447821870591837 -0.463357205102041 -0.627210608571429 -0.56065619755102 -0.804814413265306 -0.744634869591837 -0.352449631363265 -0.927878544897959 -0.83404579
"SITTING" 1 0.217507940023404 -0.0919241549361702 -0.875423871702128 0.782854043829787 -0.719305914170213 0.258733872126596 0.113818159957447 -0.0936793807234043 -0.514312723851064 -0.999017407234043 -0.99831475787234 -0.998748331489362 -0.999120911276596 -0.999480897021277 -0.999540442765957 -0.976161464042553 -0.999663006808511 -0.999799265744681
"STANDING" 1 0.210956762773585 -0.0593972209811321 -0.873775728490566 0.813972506981132 -0.358149656018868 0.274304828092453 0.171002379077547 -0.0996092129056604 -0.555794507049057 -0.999931601698113 -0.999960836792453 -0.999776926037736 -0.999766992075472 -0.999784658490566 -0.999552433396226 -0.986386786037736 -0.999949959811321 -0.999985711698113
"LAYING" 1 0.1275149057 -0.064486124088 -0.78018166656 0.7702035598 -0.244623975822 0.19059974554 0.075062469436 -0.107270949192 -0.48536717122 -0.9953484832 -0.9896065986 -0.9861261602 -0.9854256262 -0.990634675 -0.9838882006 -0.850249174586 -0.9861645352 -0.9977716264
"WALKING" 2 -0.0127912809237288 -0.0482382316949153 -0.489339145932203 0.348751239830508 0.142944547133898 -0.188591849727119 -0.355923917152542 -0.0818833429152542 -0.724849881525424 -0.618494249322034 -0.836712560338983 -0.761244444576271 -0.50557995779661 -0.874501143050847 -0.918785351355932 -0.429713536101695 -0.838538992372881 -0.950924448983051
"WALKING_UPSTAIRS" 2 0.0223930666395833 -0.0320883097395833 -0.370203249183333 0.28210755425 -0.0240408099083333 0.0109036526270833 -0.150537102040833 -0.0828858001333333 -0.505033947083333 -0.727370209166667 -0.756581025625 -0.775080963125 -0.670769231041667 -0.849687735625 -0.887696392708333 -0.331643577458333 -0.877147824791667 -0.966399018541667
"WALKING_DOWNSTAIRS" 2 0.22422710973617 -0.00482329231914894 -0.33817757808766 0.187331086368298 0.0523443765344723 0.0120717594744681 -0.155105878285106 -0.0581038498510638 -0.690804057404255 -0.268503526853192 -0.446749572978723 -0.446758358531915 -0.302078761651064 -0.659551288510638 -0.750314753595745 -0.145775970406383 -0.748958927659575 -0.905874659787234
"SITTING" 2 0.212113447782609 -0.0599286797043478 -0.884830284782609 0.787973085 -0.551229318813043 0.206040879695652 0.037560153 -0.0936328412826087 -0.389546246934783 -0.999688010869565 -0.999346054565217 -0.999348434347826 -0.99957122826087 -0.999645352608696 -0.999347207391304 -0.982621389565217 -0.999816669130435 -0.999949786956522
